Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor
0,1,1,-18,-6,18,0.00341587,0.11964
3,1,1,18,-6,18,4.00098e-05,0.119782
1,0,1,-6,-18,18,0.0039528,0.165187
2,1,0,6,-6,6,0.000133362,0.957306
2,3,0,6,18,6,0.00460504,0.849648
3,3,0,18,18,6,0.00134472,0.823653
1,3,0,-6,18,6,0.00306407,0.849607
1,1,0,-6,-6,6,0.00577337,0.957255
2,2,0,6,6,6,0.000193428,0.913783
3,2,0,18,6,6,5.29901e-05,0.887626
1,0,0,-6,-18,6,0.00305328,0.979944
1,2,1,-6,6,18,0.00684408,0.103745
3,2,1,18,6,18,7.62789e-05,0.0794971
2,0,0,6,-18,6,0.00318497,0.98
0,2,1,-18,6,18,0.00682471,0.0793697
1,3,1,-6,18,18,0.00403229,0.0442205
2,1,1,6,-6,18,0.000273327,0.144178
0,2,0,-18,6,6,0.00544498,0.887489
0,0,0,-18,-18,6,9.65254e-05,0.953482
2,0,1,6,-18,18,0.00386096,0.165239
2,2,1,6,6,18,0.000419641,0.103787
3,0,0,18,-18,6,6.96925e-05,0.953649
2,3,1,6,18,18,0.00555124,0.0442582
0,3,0,-18,18,6,0.00042721,0.823531
1,1,1,-6,-6,18,0.00694797,0.144131
0,0,1,-18,-18,18,0.000200668,0.14062
3,1,0,18,-6,6,4.06186e-05,0.93103
3,3,1,18,18,18,0.00171736,0.0201128
3,0,1,18,-18,18,0.000127007,0.140776
1,2,0,-6,6,6,0.00562412,0.913737
0,3,1,-18,18,18,0.00073672,0.02
0,1,0,-18,-6,6,0.00252436,0.930877
