Cell IdX,Cell IdY,Cell IdZ,Voxel IdX,Voxel IdY,Voxel IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor
0,1,1,8,6,9,-14.5,-4.5,-7.5,7.01468e-07,0.108749
0,3,0,9,3,1,-13.5,16.5,-27.5,0,0.848382
0,2,0,9,5,9,-13.5,6.5,-19.5,1.35301e-06,0.554614
2,0,1,4,3,1,5.5,-19.5,-15.5,7.6443e-07,0.444946
2,2,1,5,3,9,6.5,4.5,-7.5,0,0.0991468
1,1,1,0,2,2,-10.5,-8.5,-14.5,1.40138e-06,0.390794
2,2,0,2,7,6,3.5,8.5,-22.5,6.86207e-08,0.679575
1,1,0,3,9,1,-7.5,-1.5,-27.5,9.47025e-07,0.909404
3,1,0,1,0,0,14.5,-10.5,-28.5,0,0.958352
1,1,0,3,3,0,-7.5,-7.5,-28.5,3.0341e-07,0.962838
2,1,1,7,6,6,8.5,-4.5,-10.5,0,0.230756
2,0,1,0,0,2,1.5,-22.5,-14.5,2.55158e-07,0.4079
1,1,1,8,7,4,-2.5,-3.5,-12.5,0,0.309989
1,3,0,4,0,3,-6.5,13.5,-25.5,8.33814e-07,0.784606
3,3,1,7,2,0,20.5,15.5,-16.5,0,0.394881
3,3,0,8,8,3,21.5,21.5,-25.5,0,0.730256
0,0,1,3,5,2,-19.5,-17.5,-14.5,0,0.385497
3,1,0,7,5,4,20.5,-5.5,-24.5,0,0.771799
2,3,0,3,7,1,4.5,20.5,-27.5,0,0.841798
2,0,1,4,6,8,5.5,-16.5,-8.5,8.44993e-07,0.170322
0,3,1,0,0,9,-22.5,13.5,-7.5,2.17372e-07,0.0509631
3,0,0,0,8,5,13.5,-14.5,-23.5,0,0.756263
0,1,1,2,3,3,-20.5,-7.5,-13.5,0,0.333644
1,2,0,3,0,6,-7.5,1.5,-22.5,1.11357e-06,0.695797
1,0,1,8,9,8,-2.5,-13.5,-8.5,8.93019e-07,0.169084
0,3,1,6,5,4,-16.5,18.5,-12.5,9.29253e-09,0.236519
0,0,1,4,8,5,-18.5,-14.5,-11.5,8.83667e-08,0.26811
2,3,0,4,3,3,5.5,16.5,-25.5,1.59641e-06,0.774456
3,3,1,9,5,5,22.5,18.5,-11.5,0,0.186116
2,3,0,1,9,5,2.5,22.5,-23.5,0,0.670119
3,1,0,5,5,1,18.5,-5.5,-27.5,0,0.90082
1,3,0,9,7,0,-1.5,20.5,-28.5,0,0.884375
2,1,1,2,9,3,3.5,-1.5,-13.5,0,0.344958
2,0,1,1,3,6,2.5,-19.5,-10.5,7.38425e-07,0.250316
2,1,0,8,1,6,9.5,-9.5,-22.5,0,0.71456
2,2,1,0,5,7,1.5,6.5,-9.5,0,0.172411
1,0,1,5,2,4,-5.5,-20.5,-12.5,0,0.327241
0,2,0,6,9,7,-16.5,10.5,-21.5,7.66035e-07,0.618406
0,1,1,0,5,4,-22.5,-5.5,-12.5,0,0.287071
1,1,0,4,4,9,-6.5,-6.5,-19.5,1.55914e-06,0.590734
1,1,1,6,9,4,-4.5,-1.5,-12.5,0,0.30548
3,1,1,9,3,7,22.5,-7.5,-9.5,0,0.174575
0,3,0,9,5,3,-13.5,18.5,-25.5,2.88852e-09,0.758133
2,0,1,7,0,1,8.5,-22.5,-15.5,0,0.443717
1,0,1,5,9,3,-5.5,-13.5,-13.5,6.82494e-07,0.361688
1,1,0,4,6,2,-6.5,-4.5,-26.5,8.47543e-07,0.874473
0,1,0,5,6,7,-17.5,-4.5,-21.5,4.88806e-07,0.653602
3,2,0,3,9,2,16.5,10.5,-26.5,0,0.822933
2,1,0,9,1,0,10.5,-9.5,-28.5,0,0.962797
2,3,1,5,1,4,6.5,14.5,-12.5,0,0.262315
1,0,1,4,1,6,-6.5,-21.5,-10.5,7.89371e-09,0.249158
1,0,0,4,0,4,-6.5,-22.5,-24.5,0,0.810179
