Cell IdX,Cell IdY,Cell IdZ,Voxel IdX,Voxel IdY,Voxel IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor
0,1,1,8,6,9,-14.5,-4.5,22.5,0.000551751,0.150038
0,3,0,9,3,1,-13.5,16.5,2.5,0.00276129,0.784318
0,2,0,9,5,9,-13.5,6.5,10.5,0.00429377,0.538054
2,0,1,4,3,1,5.5,-19.5,14.5,0.000609849,0.482699
2,2,1,5,3,9,6.5,4.5,22.5,0.0049722,0.123119
1,1,1,0,2,2,-10.5,-8.5,15.5,0.00439031,0.415347
2,2,0,2,7,6,3.5,8.5,7.5,0.00499062,0.646007
1,1,0,3,9,1,-7.5,-1.5,2.5,0.00278513,0.877146
3,1,0,1,0,0,14.5,-10.5,1.5,0.000229614,0.941513
1,1,0,3,3,0,-7.5,-7.5,1.5,0.00161631,0.937874
2,1,1,7,6,6,8.5,-4.5,19.5,0.00525667,0.260721
2,0,1,0,0,2,1.5,-22.5,15.5,0.000480214,0.452885
1,1,1,8,7,4,-2.5,-3.5,17.5,0.00525404,0.330963
1,3,0,4,0,3,-6.5,13.5,4.5,0.00374783,0.731298
3,3,1,7,2,0,20.5,15.5,13.5,0.00245714,0.376225
3,3,0,8,8,3,21.5,21.5,4.5,5.1626e-05,0.668864
0,0,1,3,5,2,-19.5,-17.5,15.5,0.000875103,0.428815
3,1,0,7,5,4,20.5,-5.5,5.5,0.000380531,0.763645
2,3,0,3,7,1,4.5,20.5,2.5,0.000340431,0.76698
2,0,1,4,6,8,5.5,-16.5,21.5,0.00452648,0.224617
0,3,1,0,0,9,-22.5,13.5,22.5,0.00310725,0.0667804
3,0,0,0,8,5,13.5,-14.5,6.5,0.000280865,0.762845
0,1,1,2,3,3,-20.5,-7.5,16.5,0.00201379,0.364678
1,2,0,3,0,6,-7.5,1.5,7.5,0.0045003,0.675736
1,0,1,8,9,8,-2.5,-13.5,21.5,0.00502496,0.218401
0,3,1,6,5,4,-16.5,18.5,17.5,0.00110837,0.22352
0,0,1,4,8,5,-18.5,-14.5,18.5,0.000607594,0.315218
2,3,0,4,3,3,5.5,16.5,4.5,0.00420202,0.715177
3,3,1,9,5,5,22.5,18.5,18.5,0.000175099,0.180202
2,3,0,1,9,5,2.5,22.5,6.5,0.000164311,0.60623
3,1,0,5,5,1,18.5,-5.5,2.5,0.000549581,0.880932
1,3,0,9,7,0,-1.5,20.5,1.5,0.000272297,0.805392
2,1,1,2,9,3,3.5,-1.5,16.5,0.00512948,0.359494
2,0,1,1,3,6,2.5,-19.5,19.5,0.00185771,0.302849
2,1,0,8,1,6,9.5,-9.5,7.5,0.00476469,0.714412
2,2,1,0,5,7,1.5,6.5,20.5,0.00512453,0.186057
1,0,1,5,2,4,-5.5,-20.5,17.5,0.00236871,0.375669
0,2,0,6,9,7,-16.5,10.5,8.5,0.00352335,0.589125
0,1,1,0,5,4,-22.5,-5.5,17.5,0.000209273,0.319305
1,1,0,4,4,9,-6.5,-6.5,10.5,0.00516587,0.594632
1,1,1,6,9,4,-4.5,-1.5,17.5,0.00508607,0.323341
3,1,1,9,3,7,22.5,-7.5,20.5,0.00011565,0.219261
0,3,0,9,5,3,-13.5,18.5,4.5,0.000535843,0.697653
2,0,1,7,0,1,8.5,-22.5,14.5,9.44637e-05,0.486795
1,0,1,5,9,3,-5.5,-13.5,16.5,0.00506097,0.396165
1,1,0,4,6,2,-6.5,-4.5,3.5,0.00390736,0.850949
0,1,0,5,6,7,-17.5,-4.5,8.5,0.000169673,0.651837
3,2,0,3,9,2,16.5,10.5,3.5,0.00338266,0.775763
2,1,0,9,1,0,10.5,-9.5,1.5,0.00155563,0.942392
2,3,1,5,1,4,6.5,14.5,17.5,0.00527814,0.252827
1,0,1,4,1,6,-6.5,-21.5,19.5,0.000745843,0.305249
1,0,0,4,0,4,-6.5,-22.5,5.5,0.000146016,0.824214
0,0,1,3,7,9,-19.5,-15.5,22.5,0.000354205,0.174472
2,2,0,9,0,3,10.5,1.5,4.5,0.0033786,0.78652
1,3,0,2,7,5,-8.5,20.5,6.5,0.00141878,0.615827
1,3,1,6,6,9,-4.5,19.5,22.5,0.00410679,0.0533232
3,3,0,8,2,7,21.5,15.5,8.5,0.00147906,0.55595
2,1,1,7,0,9,8.5,-10.5,22.5,0.00431566,0.173032
1,2,1,2,9,4,-8.5,10.5,17.5,0.0050841,0.271273
0,0,1,3,9,4,-19.5,-13.5,17.5,0.00068848,0.347159
0,3,1,2,2,4,-20.5,15.5,17.5,0.00469884,0.234019
3,0,1,0,2,2,13.5,-20.5,15.5,0.000134616,0.442536
2,0,1,1,6,9,2.5,-16.5,22.5,0.00463721,0.190183
1,2,0,7,7,9,-3.5,8.5,10.5,0.00513919,0.535243
1,0,0,8,6,9,-2.5,-16.5,10.5,0.00478988,0.62453
3,3,1,7,3,1,20.5,16.5,14.5,0.00140672,0.33517
0,1,1,5,6,1,-17.5,-4.5,14.5,0.000382278,0.431319
1,2,0,0,4,8,-10.5,5.5,9.5,0.0045764,0.582104
2,0,1,6,0,4,7.5,-22.5,17.5,8.68134e-05,0.378379
