Cell IdX,Cell IdY,Cell IdZ,Voxel IdX,Voxel IdY,Voxel IdZ,X [mm],Y [mm],Z [mm],Material,Dose,FieldScalingFactor
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-31.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-30.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-29.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-28.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-27.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-26.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-25.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-24.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-23.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-22.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-21.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-20.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-19.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-18.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-17.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-16.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-15.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-14.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-13.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-12.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-11.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-10.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-9.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-8.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-7.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-6.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-5.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-4.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-3.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-2.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-1.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,-0.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,0.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,1.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,2.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,3.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,4.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,5.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,6.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,7.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,8.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,9.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,10.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,11.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,12.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,13.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,14.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,15.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,16.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,17.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,18.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,19.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,20.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,21.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,22.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,23.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,24.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,25.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,26.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,27.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,28.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,29.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,30.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-31.5,31.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-31.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-30.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-29.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-28.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-27.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-26.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-25.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-24.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-23.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-22.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-21.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-20.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-19.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-18.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-17.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-16.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-15.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-14.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-13.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-12.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-11.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-10.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-9.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-8.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-7.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-6.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-5.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-4.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-3.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-2.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-1.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,-0.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,0.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,1.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,2.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,3.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,4.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,5.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,6.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,7.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,8.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,9.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,10.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,11.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,12.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,13.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,14.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,15.5,0.0211788,0.0,0.0
-1,-1,-1,-1,-1,-1,-31.5,-30.5,16.5,0.0211788,0.0,0.0
